            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460078.500000000, A.D. 2023-May-14 00:00:00.0000,  5.370998927432432E+07,  3.834165016460875E+08, -1.460795381792164E+08,
2460079.500000000, A.D. 2023-May-15 00:00:00.0000,  5.230353978681342E+07,  3.834757984055620E+08, -1.461821677672473E+08,
2460080.500000000, A.D. 2023-May-16 00:00:00.0000,  5.089634418888750E+07,  3.835297402375671E+08, -1.462827561036639E+08,
2460081.500000000, A.D. 2023-May-17 00:00:00.0000,  4.948842162903937E+07,  3.835783227576332E+08, -1.463813004059368E+08,
2460082.500000000, A.D. 2023-May-18 00:00:00.0000,  4.807979128700541E+07,  3.836215416136081E+08, -1.464777979023605E+08,
2460083.500000000, A.D. 2023-May-19 00:00:00.0000,  4.667047237396467E+07,  3.836593924857724E+08, -1.465722458320870E+08,
2460084.500000000, A.D. 2023-May-20 00:00:00.0000,  4.526048413273823E+07,  3.836918710869564E+08, -1.466646414451607E+08,
2460085.500000000, A.D. 2023-May-21 00:00:00.0000,  4.384984583798927E+07,  3.837189731626588E+08, -1.467549820025524E+08,
2460086.500000000, A.D. 2023-May-22 00:00:00.0000,  4.243857679642323E+07,  3.837406944911696E+08, -1.468432647761965E+08,
2460087.500000000, A.D. 2023-May-23 00:00:00.0000,  4.102669634698845E+07,  3.837570308836922E+08, -1.469294870490273E+08,
2460088.500000000, A.D. 2023-May-24 00:00:00.0000,  3.961422386107723E+07,  3.837679781844710E+08, -1.470136461150167E+08,
2460089.500000000, A.D. 2023-May-25 00:00:00.0000,  3.820117874272722E+07,  3.837735322709188E+08, -1.470957392792129E+08,
2460090.500000000, A.D. 2023-May-26 00:00:00.0000,  3.678758042882306E+07,  3.837736890537483E+08, -1.471757638577802E+08,
2460091.500000000, A.D. 2023-May-27 00:00:00.0000,  3.537344838929857E+07,  3.837684444771038E+08, -1.472537171780385E+08,
2460092.500000000, A.D. 2023-May-28 00:00:00.0000,  3.395880212733907E+07,  3.837577945186979E+08, -1.473295965785058E+08,
2460093.500000000, A.D. 2023-May-29 00:00:00.0000,  3.254366117958421E+07,  3.837417351899483E+08, -1.474033994089390E+08,
2460094.500000000, A.D. 2023-May-30 00:00:00.0000,  3.112804511633099E+07,  3.837202625361182E+08, -1.474751230303778E+08,
2460095.500000000, A.D. 2023-May-31 00:00:00.0000,  2.971197354173716E+07,  3.836933726364580E+08, -1.475447648151885E+08,
2460096.500000000, A.D. 2023-Jun-01 00:00:00.0000,  2.829546609402495E+07,  3.836610616043505E+08, -1.476123221471085E+08,
2460097.500000000, A.D. 2023-Jun-02 00:00:00.0000,  2.687854244568500E+07,  3.836233255874585E+08, -1.476777924212922E+08,
2460098.500000000, A.D. 2023-Jun-03 00:00:00.0000,  2.546122230368069E+07,  3.835801607678725E+08, -1.477411730443577E+08,
2460099.500000000, A.D. 2023-Jun-04 00:00:00.0000,  2.404352540965275E+07,  3.835315633622646E+08, -1.478024614344343E+08,
2460100.500000000, A.D. 2023-Jun-05 00:00:00.0000,  2.262547154012400E+07,  3.834775296220417E+08, -1.478616550212111E+08,
2460101.500000000, A.D. 2023-Jun-06 00:00:00.0000,  2.120708050670454E+07,  3.834180558335024E+08, -1.479187512459861E+08,
2460102.500000000, A.D. 2023-Jun-07 00:00:00.0000,  1.978837215629708E+07,  3.833531383179960E+08, -1.479737475617169E+08,
2460103.500000000, A.D. 2023-Jun-08 00:00:00.0000,  1.836936637130254E+07,  3.832827734320850E+08, -1.480266414330719E+08,
2460104.500000000, A.D. 2023-Jun-09 00:00:00.0000,  1.695008306982592E+07,  3.832069575677078E+08, -1.480774303364821E+08,
